bird_scientific,bird_english,bird_swedish,family_scientific,family_english,family_swedish,order_scientific,order_english,order_swedish,bird_details,bird_population
Podiceps nigricollis,Black-necked Grebe,svarthalsad dopping,Podicipedidae,Grebes,Doppingar,PODICIPEDIFORMES,Grebes,DOPPINGFÅGLAR,Hf 5,5
Phoenicopterus roseus,Greater Flamingo,större flamingo,Phoenicopteridae,Flamingos,Flamingor,PHOENICOPTERIFORMES,Flamingos,FLAMINGOFÅGLAR,[T**],7
Burhinus oedicnemus,Eurasian Stone-curlew,tjockfot,Burhinidae,Stone-curlews,Tjockfotar,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Haematopus ostralegus,Eurasian Oystercatcher,strandskata,Haematopodidae,Oystercatchers,Strandskator,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 3,3
Himantopus himantopus,Black-winged Stilt,styltlöpare,Recurvirostridae,Stilts and Avocets,Skärfläckor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Recurvirostra avosetta,Pied Avocet,skärfläcka,Recurvirostridae,Stilts and Avocets,Skärfläckor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 4,4
Vanellus vanellus,Northern Lapwing,tofsvipa,Charadriidae,Plovers,Pipare,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 2,2
Vanellus cinereus,Grey-headed Lapwing,gråhuvad vipa,Charadriidae,Plovers,Pipare,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,???,nil
Vanellus gregarius,Sociable Lapwing,stäppvipa,Charadriidae,Plovers,Pipare,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Vanellus leucurus,White-tailed Lapwing,sumpvipa,Charadriidae,Plovers,Pipare,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Pluvialis apricaria,European Golden Plover,ljungpipare,Charadriidae,Plovers,Pipare,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 3,3
Pluvialis fulva,Pacific Golden Plover,sibirisk tundrapipare,Charadriidae,Plovers,Pipare,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T**,7
Pluvialis dominica,American Golden Plover,amerikansk tundrapipare,Charadriidae,Plovers,Pipare,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Pluvialis squatarola,Grey Plover,kustpipare,Charadriidae,Plovers,Pipare,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,F 3-4,4
Charadrius hiaticula,Common Ringed Plover,större strandpipare,Charadriidae,Plovers,Pipare,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 3,3
Charadrius dubius,Little Ringed Plover,mindre strandpipare,Charadriidae,Plovers,Pipare,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 4,4
Charadrius alexandrinus,Kentish Plover,svartbent strandpipare,Charadriidae,Plovers,Pipare,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T*,6
Charadrius mongolus,Lesser Sand Plover,mongolpipare,Charadriidae,Plovers,Pipare,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Charadrius leschenaultii,Greater Sand Plover,ökenpipare,Charadriidae,Plovers,Pipare,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Charadrius asiaticus,Caspian Plover,kaspisk pipare,Charadriidae,Plovers,Pipare,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 4,4
Charadrius morinellus,Eurasian Dotterel,fjällpipare,Charadriidae,Plovers,Pipare,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 4,4
Bartramia longicauda,Upland Sandpiper,piparsnäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Numenius phaeopus,Eurasian Whimbrel,småspov,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 4,4
Numenius minutus,Little Curlew,dvärgspov,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Numenius arquata,Eurasian Curlew,storspov,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 3,3
Limosa lapponica,Bar-tailed Godwit,myrspov,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 5 / F 4,4
Limosa limosa,Black-tailed Godwit,rödspov,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 4,4
Limosa haemastica,Hudsonian Godwit,hudsonspov,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Arenaria interpres,Ruddy Turnstone,roskarl,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 4,4
Calidris tenuirostris,Great Knot,kolymasnäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Calidris canutus,Red Knot,kustsnäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,F 3-4,4
Calidris pugnax,Ruff,brushane,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 3,3
Calidris falcinellus,Broad-billed Sandpiper,myrsnäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 4 / F 4-5,4
Calidris acuminata,Sharp-tailed Sandpiper,spetsstjärtad snäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Calidris himantopus,Stilt Sandpiper,styltsnäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Calidris ferruginea,Curlew Sandpiper,spovsnäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,F 4,4
Calidris temminckii,Temminck's Stint,mosnäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 4,4
Calidris subminuta,Long-toed Stint,långtåsnäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Calidris ruficollis,Red-necked Stint,rödhalsad snäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Calidris alba,Sanderling,sandlöpare,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,F 4,4
